Type an 'x' in this column to bookmark this school in the 'Programs' tab,School Name,"School DBN Code (Link to NYC School Finder)",Borough,Number of Programs at School,10th Grade Seats Offered?,School Type,"Neighborhood (Link to map of school address)","School Graduation Rate (Links to School Quality Snapshot)",Student Attendance Rate,Percent of students who feel safe,AP Courses Offered? (Link to AP Courses tab),Bilingual Programs at School?,CTE Offered? (Link to CTE Programs tab),Site Accessibility,DBN Ref,Bookmark
,Ò47Ó The American Sign Language and English Secondary School,02M047,M,1,Yes,,Gramercy,55%,88%,92%,Yes,,,Accessible,02M047,0
,A. Philip Randolph Campus High School,06M540,M,5,,,Manhattanville,83%,86%,82%,Yes,DL: Spanish,,Accessible,06M540,0
,Abraham Lincoln High School,21K410,BK,6,Yes,,West Brighton,66%,83%,75%,Yes,,Yes,Accessible,21K410,0
,Academy for Careers in Television and Film (ACTV),30Q301,Q,1,,,Hunters Point-Sunnyside,98%,94%,93%,Yes,,Yes,Accessible,30Q301,0
,Academy for College Preparation and Career Exploration: A College Board School,17K382,BK,1,,,Flatbush,59%,83%,65%,Yes,,,Accessible,17K382,0
,Academy for Conservation and the Environment,18K637,BK,1,Yes,,Canarsie,83%,85%,74%,Yes,,,Accessible,18K637,0
,Academy for Environmental Leadership,32K403,BK,1,,,Bushwick,70%,82%,80%,Yes,,,Accessible,32K403,0
,Academy for Health Careers,17K751,BK,1,Yes,,Crown Heights North,73%,84%,77%,,,Yes,Accessible,17K751,0
,Academy for Language and Technology,09X365,BX,3,,School for New Arrivals,University Heights-Morris Heights,94%,92%,95%,Yes,TBE: Spanish,Yes,Accessible,09X365,0
,Academy for Scholarship and Entrepreneurship: A College Board School,11X270,BX,1,Yes,,Williamsbridge-Olinville,70%,85%,72%,Yes,,Yes,Accessible,11X270,0
,Academy for Social Action,05M367,M,1,,,Manhattanville,58%,71%,77%,Yes,,,Not Accessible,05M367,0
,Academy for Software Engineering (AFSE),02M546,M,1,,,Gramercy,N/A,93%,88%,Yes,,Yes,Accessible,02M546,0
,Academy for Young Writers,19K404,BK,1,,,East New York,75%,89%,83%,Yes,TBE: Spanish,,Accessible,19K404,0
,Academy of American Studies,30Q575,Q,2,Yes,,Queensbridge-LIC,88%,94%,93%,Yes,,,Not Accessible,30Q575,0
,Academy of Finance and Enterprise,24Q264,Q,1,Yes,,Hunters Point-Sunnyside,94%,93%,91%,Yes,,Yes,Accessible,24Q264,0
,Academy of Hospitality and Tourism,17K408,BK,1,Yes,,Flatbush,63%,83%,73%,,,Yes,Accessible,17K408,0
,Academy of Innovative Technology,19K618,BK,1,,,Cypress Hills,78%,82%,86%,Yes,,Yes,Accessible,19K618,0
,Academy of Medical Technology: A College Board School,27Q309,Q,2,Yes,,Far Rockaway-Bayswater,64%,84%,83%,,,,Not Accessible,27Q309,0
,Academy of Urban Planning,32K552,BK,1,Yes,,Bushwick,55%,82%,79%,Yes,,,Accessible,32K552,0
,ACORN Community High School,13K499,BK,2,Yes,,Crown Heights North,49%,79%,78%,Yes,,,Accessible,13K499,0
,Alfred E. Smith Career and Technical Education High School,07X600,BX,3,,,Melrose S.-Mott Haven N.,70%,83%,77%,Yes,TBE: Spanish,Yes,Accessible,07X600,0
,All City Leadership Secondary School,32K554,BK,1,,,Bushwick,90%,94%,99%,Yes,,,Not Accessible,32K554,0
,Antonia Pantoja Preparatory Academy: A College Board School,08X376,BX,1,,,Castle Hill-Clason Point,61%,81%,69%,Yes,,,Accessible,08X376,0
,"Archimedes Academy for Math, Science and Technology Applications",08X367,BX,1,,,Castle Hill-Clason Point,58%,88%,81%,,,,Accessible,08X367,0
,Art and Design High School,02M630,M,3,Yes,,E. Midtown,85%,91%,91%,Yes,,Yes,Accessible,02M630,0
,Arts & Media Preparatory Academy,18K589,BK,1,,,Prospect Lefferts Gardens,48%,84%,86%,,,,Not Accessible,18K589,0
,Astor Collegiate Academy,11X299,BX,1,Yes,,Bronxdale,71%,88%,70%,Yes,,,Accessible,11X299,0
,August Martin High School,27Q400,Q,2,Yes,,Springfield Gardens North,25%,79%,73%,Yes,,Yes,Accessible,27Q400,0
,Automotive High School,14K610,BK,5,Yes,,Williamsburg,46%,81%,79%,Yes,,Yes,Accessible,14K610,0
,Aviation Career & Technical Education High School,24Q610,Q,2,,,Hunters Point-Sunnyside,91%,95%,90%,Yes,,Yes,Accessible,24Q610,0
,Baccalaureate School for Global Education,30Q580,Q,1,Yes,,Queensbridge-LIC,100%,97%,97%,,,,Accessible,30Q580,0
,Banana Kelly High School,08X530,BX,1,Yes,,Longwood,41%,72%,70%,,,,Not Accessible,08X530,0
,Bard High School Early College,01M696,M,1,Yes,Early College,Lower East Side,97%,96%,99%,,,,Not Accessible,01M696,0
,Bard High School Early College Queens,24Q299,Q,1,Yes,Early College,Hunters Point-Sunnyside,98%,97%,99%,,,,Accessible,24Q299,0
,Baruch College Campus High School,02M411,M,1,Yes,,Chelsea-Union Sq,100%,98%,94%,Yes,,,Accessible,02M411,0
,Bayside High School,26Q495,Q,7,Yes,,Bayside-Bayside Hills,92%,93%,81%,Yes,,Yes,Not Accessible,26Q495,0
,Beacon High School,03M479,M,1,Yes,Performance Assessment School,Clinton,100%,96%,98%,Yes,,,Accessible,03M479,0
,Bedford Academy High School,13K595,BK,2,,,Bedford-Stuyvesant,96%,96%,91%,Yes,,,Accessible,13K595,0
,Belmont Preparatory High School,10X434,BX,1,,,Belmont,61%,90%,86%,Yes,,,Accessible,10X434,0
,Benjamin Banneker Academy,13K670,BK,4,Yes,,Clinton Hill,92%,90%,86%,Yes,,,Accessible,13K670,0
,Benjamin Franklin High School for Finance & Information Technology,29Q313,Q,1,Yes,,Cambria Heights,N/A,92%,66%,,,Yes,Accessible,29Q313,0
,Benjamin N. Cardozo High School,26Q415,Q,5,Yes,,Oakland Gardens,91%,93%,77%,Yes,,,Accessible,26Q415,0
,Boys and Girls High School,16K455,BK,4,Yes,,Bedford-Stuyvesant,50%,78%,80%,,,Yes,Accessible,16K455,0
,Bronx Academy for Software Engineering (BASE),10X264,BX,1,,,Belmont,N/A,89%,85%,Yes,,Yes,Not Accessible,10X264,0
,Bronx Academy of Health Careers,11X290,BX,1,Yes,,Williamsbridge-Olinville,70%,89%,70%,,,,Accessible,11X290,0
,Bronx Aerospace High School,11X545,BX,1,Yes,,Williamsbridge-Olinville,68%,81%,73%,Yes,DL: Spanish,,Accessible,11X545,0
,Bronx Bridges High School,08X432,BX,1,,,Castle Hill-Clason Point,57%,83%,83%,Yes,TBE: Spanish,,Accessible,08X432,0
,Bronx Career and College Preparatory High School,12X479,BX,1,Yes,,Longwood,46%,79%,85%,,,,Accessible,12X479,0
,Bronx Center for Science and Mathematics,09X260,BX,1,,,Claremont-Bathgate,90%,92%,91%,Yes,,,Not Accessible,09X260,0
,Bronx Collaborative High School,10X351,BX,1,Yes,Performance Assessment School,Van Cortlandt Village,N/A,72%,87%,,TBE: Spanish,,Accessible,10X351,0
,Bronx Collegiate Academy,09X227,BX,1,Yes,,E. Concourse-Concourse Village,55%,80%,79%,Yes,,,Accessible,09X227,0
,Bronx Compass High School,08X561,BX,1,Yes,,Castle Hill-Clason Point,N/A,80%,88%,,,,Accessible,08X561,0
,Bronx Design and Construction Academy,07X522,BX,2,,,Melrose S.-Mott Haven N.,53%,81%,86%,Yes,,Yes,Accessible,07X522,0
,Bronx Early College Academy for Teaching & Learning,09X324,BX,1,Yes,,E. Concourse-Concourse Village,97%,86%,90%,,,,Not Accessible,09X324,0
,Bronx Engineering and Technology Academy,10X213,BX,1,,,Spuyten Duyvil-Kingsbridge,70%,84%,77%,Yes,,Yes,Accessible,10X213,0
,Bronx Envision Academy,12X511,BX,1,Yes,,Crotona Park East,74%,82%,78%,Yes,,,Not Accessible,12X511,0
,Bronx Guild,08X452,BX,1,Yes,,Castle Hill-Clason Point,57%,74%,82%,,,,Accessible,08X452,0
,Bronx Health Sciences High School,11X249,BX,1,,,Co-op City,97%,93%,90%,,,,Accessible,11X249,0
,Bronx High School for Law and Community Service,10X439,BX,2,,,Belmont,73%,83%,84%,Yes,,Yes,Accessible,10X439,0
,Bronx High School for Medical Science,09X413,BX,1,Yes,,E. Concourse-Concourse Village,85%,93%,84%,,,,Accessible,09X413,0
,Bronx High School for the Visual Arts,11X418,BX,2,Yes,,Pelham Parkway,52%,86%,84%,Yes,,Yes,Accessible,11X418,0
,Bronx High School for Writing and Communication Arts,11X253,BX,1,,,Williamsbridge-Olinville,51%,83%,82%,Yes,,,Accessible,11X253,0
,Bronx High School of Business,09X412,BX,2,Yes,,E. Concourse-Concourse Village,39%,79%,77%,,TBE: Spanish,Yes,Accessible,09X412,0
,Bronx High School of Science,10X445,BX,1,Yes,Specialized HS,Van Cortlandt Village,99%,97%,93%,Yes,,,Accessible,10X445,0
,Bronx International High School,09X403,BX,1,Yes,"Performance Assessment School, School for New Arrivals",Morrisania-Melrose,72%,84%,87%,Yes,,Yes,Accessible,09X403,0
,Bronx Lab School,11X265,BX,1,Yes,Performance Assessment School,Williamsbridge-Olinville,83%,86%,70%,,,,Accessible,11X265,0
,Bronx Latin,12X267,BX,1,,,Longwood,85%,90%,93%,Yes,,,Accessible,12X267,0
,Bronx Leadership Academy High School,09X525,BX,1,Yes,,Claremont-Bathgate,56%,82%,63%,Yes,,,Accessible,09X525,0
,Bronx Leadership Academy II High School,07X527,BX,1,Yes,,E. Concourse-Concourse Village,60%,85%,95%,Yes,,,Accessible,07X527,0
,Bronx River High School,08X349,BX,1,Yes,,Schuylerville-Throgs Neck,N/A,88%,74%,,,,Accessible,08X349,0
,"Bronx School for Law, Government and Justice",09X505,BX,2,Yes,,E. Concourse-Concourse Village,76%,90%,80%,Yes,,,Accessible,09X505,0
,Bronx School of Law and Finance,10X284,BX,1,Yes,,Spuyten Duyvil-Kingsbridge,64%,82%,81%,Yes,,Yes,Accessible,10X284,0
,Bronx Studio School for Writers and Artists,08X269,BX,1,,,Hunts Point,70%,86%,83%,Yes,,,Not Accessible,08X269,0
,Bronx Theatre High School,10X546,BX,2,Yes,,Spuyten Duyvil-Kingsbridge,64%,81%,69%,Yes,,,Accessible,10X546,0
,Bronxdale High School,11X508,BX,1,,,Bronxdale,78%,85%,75%,Yes,,Yes,Accessible,11X508,0
,Brooklyn Academy of Science and the Environment,17K547,BK,1,Yes,,Crown Heights South,75%,91%,75%,Yes,,,Accessible,17K547,0
,Brooklyn College Academy,22K555,BK,1,Yes,Early College,Windsor Terrace,99%,96%,95%,,,,Accessible,22K555,0
,Brooklyn Collegiate: A College Board School,23K493,BK,1,Yes,,Ocean Hill,64%,79%,84%,Yes,,,Accessible,23K493,0
,"Brooklyn Community High School of Communication, Arts and Media (BCAM)",13K412,BK,1,Yes,,Clinton Hill,78%,84%,86%,Yes,,,Not Accessible,13K412,0
,Brooklyn Frontiers High School,15K423,BK,1,,Transfer School,DUMBO-Downtown Brooklyn,N/A,78%,79%,,,,Not Accessible,15K423,0
,Brooklyn Generation School,18K566,BK,1,Yes,,Canarsie,68%,92%,81%,Yes,,,Accessible,18K566,0
,Brooklyn High School for Law and Technology,16K498,BK,2,Yes,,Bedford-Stuyvesant,73%,90%,76%,Yes,,Yes,Accessible,16K498,0
,Brooklyn High School of the Arts,15K656,BK,5,Yes,,DUMBO-Downtown Brooklyn,93%,91%,78%,Yes,,,Accessible,15K656,0
,Brooklyn Institute for Liberal Arts (BILA),17K745,BK,1,,,Prospect Lefferts Gardens,N/A,94%,87%,Yes,,,Not Accessible,17K745,0
,Brooklyn International High School,13K439,BK,1,,"Performance Assessment School, School for New Arrivals",DUMBO-Downtown Brooklyn,90%,94%,93%,,,,Accessible,13K439,0
,Brooklyn Lab School,19K639,BK,1,Yes,,Cypress Hills,54%,74%,83%,Yes,,,Accessible,19K639,0
,"Brooklyn Latin School, The",14K449,BK,1,Yes,Specialized HS,East Williamsburg,98%,94%,93%,,,,Not Accessible,14K449,0
,Brooklyn Preparatory High School,14K488,BK,1,Yes,,Williamsburg,86%,90%,,Yes,,,Accessible,14K488,0
,Brooklyn School for Music & Theatre,17K548,BK,1,Yes,,Crown Heights South,83%,89%,65%,Yes,,Yes,Accessible,17K548,0
,Brooklyn Secondary School for Collaborative Studies,15K448,BK,1,Yes,Performance Assessment School,Carroll Gardens-Red Hook,89%,85%,88%,,,,Not Accessible,15K448,0
,Brooklyn Studio Secondary School,21K690,BK,3,,,Bensonhurst West,75%,90%,85%,Yes,,Yes,Not Accessible,21K690,0
,Brooklyn Technical High School,13K430,BK,1,Yes,Specialized HS,Fort Greene,97%,97%,92%,Yes,,Yes,Accessible,13K430,0
,Brooklyn Theatre Arts High School,18K567,BK,1,Yes,,Canarsie,70%,85%,80%,Yes,,Yes,Accessible,18K567,0
,Bushwick Leaders High School for Academic Excellence,32K556,BK,1,,,Bushwick,65%,82%,87%,,,,Not Accessible,32K556,0
,Bushwick School for Social Justice,32K549,BK,1,Yes,,Bushwick,69%,80%,83%,Yes,,,Accessible,32K549,0
,Business Of Sports School (BOSS),02M393,M,1,Yes,,Clinton,70%,85%,88%,Yes,,Yes,Not Accessible,02M393,0
,Business Technology Early College High School (BTECH),26Q315,Q,1,Yes,"Early College, 9-14 School",Bellerose,N/A,94%,89%,,,Yes,Accessible,26Q315,0
,Cambria Heights Academy,29Q326,Q,1,Yes,,Jamaica,73%,87%,76%,Yes,,Yes,Not Accessible,29Q326,0
,"Celia Cruz Bronx High School of Music, The",10X442,BX,3,Yes,,Van Cortlandt Village,92%,90%,82%,Yes,,,Accessible,10X442,0
,Central Park East High School,04M555,M,1,Yes,,East Harlem South,98%,94%,96%,Yes,,,Not Accessible,04M555,0
,Channel View School for Research,27Q262,Q,1,,,Breezy Point-Rockaway Park,85%,90%,91%,Yes,,,Accessible,27Q262,0
,Chelsea Career and Technical Education High School,02M615,M,2,Yes,,SoHo-Tribeca,88%,88%,92%,Yes,,Yes,Not Accessible,02M615,0
,City College Academy of the Arts,06M293,M,1,Yes,Early College,Washington Heights N.,95%,94%,92%,,,,Accessible,06M293,0
,"City Polytechnic High School of Engineering, Architecture, and Technology",13K674,BK,1,,"Early College, 9-14 School",DUMBO-Downtown Brooklyn,89%,88%,84%,,,Yes,Accessible,13K674,0
,Civic Leadership Academy,24Q293,Q,1,Yes,,Elmhurst,87%,90%,96%,Yes,,,Accessible,24Q293,0
,Clara Barton High School,17K600,BK,3,Yes,,Crown Heights South,69%,88%,59%,Yes,"DL: Haitian Creole, Russian; TBE: Haitian Creole",Yes,Accessible,17K600,0
,Claremont International HS,09X564,BX,1,,"Performance Assessment School, School for New Arrivals",E. Concourse-Concourse Village,N/A,89%,75%,Yes,,,Accessible,09X564,0
,"Clinton School Writers & Artists, M.S. 260",02M260,M,1,Yes,,Chelsea-Union Sq,N/A,97%,97%,,,,Accessible,02M260,0
,Coalition School for Social Change,04M409,M,1,Yes,,East Harlem North,44%,80%,89%,Yes,,,Accessible,04M409,0
,Cobble Hill School of American Studies,15K519,BK,2,Yes,,DUMBO-Downtown Brooklyn,79%,83%,87%,Yes,,Yes,Not Accessible,15K519,0
,Collegiate Institute for Math and Science (CIMS),11X288,BX,1,Yes,,Bronxdale,82%,89%,74%,Yes,,,Accessible,11X288,0
,Columbia Secondary School,05M362,M,1,,,Morningside Heights,99%,96%,93%,Yes,,Yes,Accessible,05M362,0
,Community Health Academy of the Heights,06M346,M,1,,,Washington Heights S.,63%,81%,91%,Yes,,,Accessible,06M346,0
,Community School for Social Justice,07X427,BX,1,Yes,Performance Assessment School,West Concourse,55%,79%,92%,,,,Accessible,07X427,0
,Comprehensive Model School Project M.S. 327,09X327,BX,1,,,West Concourse,N/A,90%,91%,Yes,,,Accessible,09X327,0
,Crotona Academy High School,12X321,BX,1,Yes,Transfer School,Melrose S.-Mott Haven N.,N/A,54%,98%,,,,Not Accessible,12X321,0
,Crotona International High School,10X524,BX,1,,"Performance Assessment School, School for New Arrivals",Belmont,45%,88%,77%,,,Yes,Not Accessible,10X524,0
,CSI High School for International Studies,31R047,SI,1,Yes,,Todt Hill-Heartland Village,95%,95%,95%,Yes,,,Accessible,31R047,0
,Cultural Academy for the Arts and Sciences,18K629,BK,2,,,East Flatbush,61%,84%,74%,,,,Accessible,18K629,0
,Curtis High School,31R450,SI,10,Yes,,New Brighton-St. George,76%,86%,74%,Yes,TBE: Spanish,Yes,Accessible,31R450,0
,Cypress Hills Collegiate Preparatory School,19K659,BK,1,,,Cypress Hills,58%,78%,84%,Yes,,,Accessible,19K659,0
,DeWitt Clinton High School,10X440,BX,5,Yes,,Van Cortlandt Village,46%,81%,72%,Yes,TBE: Spanish,Yes,Accessible,10X440,0
,Digital Arts and Cinema Technology High School (Brooklyn School for Global Studies),15K429,BK,1,Yes,,DUMBO-Downtown Brooklyn,71%,85%,87%,Yes,,,Not Accessible,15K429,0
,Discovery High School,10X549,BX,1,Yes,,Van Cortlandt Village,60%,86%,84%,Yes,,,Accessible,10X549,0
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,5,Yes,,Fort Greene,51%,79%,79%,Yes,,,Not Accessible,13K265,0
,DreamYard Preparatory School,09X329,BX,1,Yes,,E. Concourse-Concourse Village,61%,79%,85%,Yes,,,Accessible,09X329,0
,Eagle Academy for Young Men,09X231,BX,1,Yes,Male Students Only,Claremont-Bathgate,71%,86%,69%,,,,Not Accessible,09X231,0
,Eagle Academy for Young Men II,23K644,BK,1,,Male Students Only,Ocean Hill,95%,91%,86%,Yes,,,Not Accessible,23K644,0
,Eagle Academy for Young Men III,29Q327,Q,1,Yes,Male Students Only,St. Albans,N/A,90%,74%,,,,Accessible,29Q327,0
,Eagle Academy for Young Men of Harlem,05M148,M,1,,Male Students Only,Central Harlem North,N/A,88%,88%,,,,Not Accessible,05M148,0
,East Bronx Academy for the Future,12X271,BX,1,,,Crotona Park East,78%,81%,86%,Yes,,,Accessible,12X271,0
,East New York Family Academy,19K409,BK,1,,,East New York,87%,88%,88%,Yes,,,Not Accessible,19K409,0
,East Side Community School,01M450,M,1,Yes,Performance Assessment School,East Village,86%,94%,94%,Yes,,,Not Accessible,01M450,0
,East-West School of International Studies,25Q281,Q,2,Yes,,Flushing,89%,91%,91%,Yes,,,Accessible,25Q281,0
,EBC High School for Public Service - Bushwick,32K545,BK,1,Yes,,Bushwick,63%,85%,86%,Yes,,,Accessible,32K545,0
,Edward R. Murrow High School,21K525,BK,7,Yes,,Midwood,82%,92%,85%,Yes,"TBE: Chinese, Spanish",Yes,Accessible,21K525,0
,El Puente Academy for Peace and Justice,14K685,BK,1,,Performance Assessment School,Williamsburg,66%,85%,94%,,,,Not Accessible,14K685,0
,Eleanor Roosevelt High School,02M416,M,1,Yes,,Lenox Hill,100%,97%,98%,Yes,,,Accessible,02M416,0
,Energy Tech High School,30Q258,Q,1,Yes,"Early College, 9-14 School",Queensbridge-LIC,N/A,95%,93%,,,Yes,Not Accessible,30Q258,0
,Epic High School - North,27Q334,Q,1,,,Richmond Hill,N/A,92%,94%,,,,Not Accessible,27Q334,0
,Epic High School - South,27Q314,Q,1,,,South Ozone Park,N/A,88%,87%,,,,Accessible,27Q314,0
,Esperanza Preparatory Academy,04M372,M,1,,,East Harlem South,N/A,85%,85%,Yes,DL: Spanish,,Accessible,04M372,0
,Essex Street Academy,02M294,M,1,Yes,Performance Assessment School,Chinatown,84%,86%,93%,Yes,,,Not Accessible,02M294,0
,Excelsior Preparatory High School,29Q265,Q,1,,,Springfield Gardens North,75%,90%,76%,,,,Accessible,29Q265,0
,Eximius College Preparatory Academy: A College Board School,09X250,BX,1,,,Claremont-Bathgate,85%,89%,81%,Yes,,,Not Accessible,09X250,0
,Expeditionary Learning School for Community Leaders,21K572,BK,1,,Performance Assessment School,Gravesend,82%,88%,90%,Yes,,,Accessible,21K572,0
