Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,International High School at LaGuardia Community College,24Q530,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza","B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67"
,International High School at Prospect Heights,17K524,Crown Heights South,"2, 3, 4, 5 to Franklin Ave; B, Q to Prospect Park; F to Park Place; S to Botanic Garden","B16, B41, B43, B44-SBS, B45, B48, B49, B69"
,International High School at Union Square,02M438,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,International High School for Health Sciences,24Q236,Elmhurst,"M, R to Grand Ave - Newtown","Q29, Q38, Q53, Q58, Q59, Q60, Q72, Q88, QM10, QM11"
,International School for Liberal Arts,10X342,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,Inwood Early College for Health and Information Technologies,06M211,Inwood,1 to Dyckman St ; A to Dyckman St-200th St,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4"
,It Takes a Village Academy,18K563,East Flatbush,N/A,"B17, B35, B46, B47, B7, B8"
,Jacqueline Kennedy Onassis High School,02M529,Midtown,"1, 2, 3, A, C, E, S to Times Square-42nd St ; 4, 5, 6 to Grand Central - 42nd St ; 7 to 42nd St-Bryant Park ; B, D, F, M to 47-50th Sts Rockefeller Center ; N, Q, R to 49th St","BM1, BM2, BM3, BM4, BM5, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M3, M34A-SBS, M4, M42, M5, M50, M7, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Jamaica Gateway to the Sciences,28Q350,Briarwood-Jamaica Hills,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68"
,James Madison High School,22K425,Madison,N/A,"B100, B2, B31, B41, B44, B44-SBS, B49, B7, B82, BM3, BM4"
,John Adams High School,27Q480,South Ozone Park,A to 104th St-Oxford Ave,"Q11, Q112, Q21, Q37, Q41, Q52, Q53, Q7, QM15"
,John Bowne High School,25Q425,Kew Gardens Hills,N/A,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q88"
,John Dewey High School,21K540,Gravesend,D to Bay 50th St; F to Ave X; N to Gravesend  Ð  86th St,"B1, B4, B64, B82, X28, X38"
,John Jay School for Law (Secondary School for Law),15K462,Park Slope-Gowanus,"F, G to 7th Ave; R to 4th Ave Ð 9th St","B103, B61, B63, B67, B69"
,Juan Morel Campos Secondary School,14K071,Williamsburg,"G to Broadway; J, M to Hewes St; Z to Marcy Ave","B24, B32, B39, B43, B44, B44-SBS, B46, B48, B57, B60, B62, Q54, Q59"
,Khalil Gibran International Academy,15K592,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Nevins St; A to Hoyt & Schermerhorn; B, D, N, Q, R to Atlantic Ave Ð Barclays Center; C to Lafayette Ave; F to Jay St-MetroTech; G to Fulton St","B103, B25, B26, B37, B38, B41, B45, B52, B54, B63, B65, B67"
,Kingsborough Early College School,21K468,Gravesend,D to 25th Ave; N to Ave U; N to Gravesend Ð 86th St,"B1, B3, B4, B6, B64, B82, X28, X38"
,Kingsbridge International High School,10X268,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,Knowledge and Power Preparatory Academy International High School (KAPPA),10X374,Belmont,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4"
,Kurt Hahn Expeditionary Learning School,18K569,East Flatbush,N/A,"B17, B35, B46, B47, B7, B8"
,Landmark High School,02M419,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28"
,Leadership and Public Service High School,02M425,Lower Manhattan,"1, R to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5 to Wall St ; 6 to Brooklyn Bridge - City Hall ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9"
,Leadership Institute,09X276,Claremont-Bathgate,N/A,"Bx11, Bx15, Bx17, Bx21, Bx36, Bx40, Bx41, Bx41-SBS, Bx42"
,Leon M. Goldstein High School for the Sciences,22K535,Manhattan Beach,N/A,"B1, B4, B44, B44-SBS, B49, BM3"
,Liberation Diploma Plus High School,21K728,Seagate-Coney Island,"D, F, N, Q to Coney Island  Ð  S llwell Avenue","B36, B64, B68, B74, B82, X28, X38"
,Life Academy High School for Film and Music,21K559,Gravesend,D to 25th Ave; N to Ave U; N to Gravesend  Ð  86th St,"B1, B3, B4, B6, B64, B82, X28, X38"
,Life Sciences Secondary School,02M655,Yorkville,6 to 96th St,"BxM1, BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M106, M15, M15-SBS, M31, M86-SBS, M96, M98"
,Long Island City High School,30Q450,Astoria,"N, Q to Broadway","Q100, Q102, Q103, Q104, Q18, Q19, Q66, Q69"
,Lower Manhattan Arts Academy,02M308,Chinatown,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9"
,Lyons Community School,14K586,East Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M to Lorimer St; L to Grand St","B24, B43, B46, B48, B60, Q54, Q59"
,M.S. 223 The Laboratory School of Finance and Technology,07X223,Mott Haven-Port Morris,"2, 5 to 3rd Ave-149th St ; 4 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St","Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A"
,Manhattan / Hunter Science High School,03M541,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42"
,Manhattan Academy for Arts & Language,02M427,Murray Hill-Kips Bay,"4, 5, 7, S to Grand Central - 42nd St ; 6 to 33rd St ; B, D, F, M, N, Q, R to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Manhattan Bridges High School,02M542,Clinton,"C, E to 50th St","M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42"
,Manhattan Business Academy,02M392,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28"
,Manhattan Center for Science and Mathematics,04M435,East Harlem North,N/A,"BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M106, M116, M15, M15-SBS, M35, M98"
,Manhattan Early College School for Advertising,02M280,Chinatown,"1 to Chambers St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5, 6, J, Z to Brooklyn Bridge - City Hall ; E to Park Place ; N, Q to Canal St ; R to City Hall","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8"
,Manhattan International High School,02M459,Lenox Hill,"4, 5, N, Q, R to Lexington Ave-59 St ; 6 to 68th St - Hunter College ; F to Lexington Ave-63 St","BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3"
,Manhattan Village Academy,02M439,Chelsea-Union Sq,"1, 6, C, E, F, M, N, R to 23rd St ; 2, 3, L to 14th St - 6th Ave ; 4, 5, Q to 14th St-Union Square ; A to 14th St-8th Ave ; B, D to 34th St-Herald Square","BM1, BM2, BM3, BM4, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M2, M20, M23, M3, M4, M5, M7, Q32, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Marble Hill High School for International Studies,10X477,Spuyten Duyvil-Kingsbridge,1 to Marble Hill - 225th St,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100"
,Marta Valle High School,01M509,Chinatown,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M8, M9"
,Martin Van Buren High School,26Q435,Bellerose,N/A,"Q1, Q27, Q43, Q46, Q88, QM6, X68"
,Maspeth High School,24Q585,Maspeth,N/A,"Q18, Q38, Q47, Q58, Q59, Q67, QM24, QM25"
,"Mathematics, Science Research and Technology Magnet High School",29Q492,Cambria Heights,N/A,"Q27, Q4, Q77, Q83, Q84, X64"
,Medgar Evers College Preparatory School,17K590,Crown Heights South,"2, 5 to President St; 3 to Nostrand Ave; 4, S to Franklin Ave","B43, B44, B44-SBS, B45, B48, B49"
,Metropolitan Diploma Plus High School,23K647,Brownsville,L to New Lots Avenue followed by B15; 3 to Rockaway Avenue followed by B60,"B15, B35, B60, B8"
,Metropolitan Expeditionary Learning School,28Q167,Forest Hills,N/A,"BM5, Q11, Q21, Q23, Q52, Q53, Q54, Q55, QM12, QM15"
,"Metropolitan High School, The",12X248,Longwood,"2, 5 to Simpson St","Bx11, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6"
,Middle College High School at LaGuardia Community College,24Q520,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza","B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67"
,Midwood High School,22K405,Flatbush,"2, 5 to Flatbush Ave  Ð  Brooklyn College","B103, B11, B41, B44, B44-SBS, B49, B6, B8, BM1, BM2, BM3, BM4, Q35"
,Millennium Art Academy,08X312,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,Millennium Brooklyn HS,15K684,Park Slope-Gowanus,"F, G to 7th Ave; R to 4th Ave Ð 9th St","B103, B61, B63, B67, B69"
,Millennium High School,02M418,Lower Manhattan,"1, R to Whitehall St-South Ferry ; 2, 3 to Wall St ; 4, 5 to Bowling Green ; A, C to Fulton St-Broadway-Nassau ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9"
,Monroe Academy for Visual Arts & Design,12X692,West Farms-Bronx River,6 to Elder Ave,"Bx11, Bx27, Bx36, Bx4, Bx4A"
,Morris Academy for Collaborative Studies,09X297,Morrisania-Melrose,"2, 5 to Intervale Ave","Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6"
,Mott Hall Bronx High School,09X252,Claremont-Bathgate,N/A,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS"
,Mott Hall High School,05M304,Central Harlem North,"1 to 137th St - City College ; 2, 3, B, C to 135th St ; A, D to 125th St","Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7"
,Mott Hall V,12X242,West Farms-Bronx River,6 to Elder Ave,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44-SBS"
,Mott Haven Village Preparatory High School,07X473,Melrose S.-Mott Haven N.,"2, 5 to Jackson Ave","Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6"
,Multicultural High School,19K583,Cypress Hills,"J, Z to 75th St Ð Elderts Lane","B13, Q56"
,Murray Hill Academy,02M432,Murray Hill-Kips Bay,"4, 5, 7, S to Grand Central - 42nd St ; 6 to 33rd St ; B, D, F, M, N, Q, R to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Murry Bergtraum High School for Business Careers,02M520,Chinatown,"1 to Chambers St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5, 6, J, Z to Brooklyn Bridge - City Hall ; E to Park Place ; N, Q to Canal St ; R to City Hall","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8"
,Nelson Mandela High School,16K765,Bedford-Stuyvesant,"A, C to Utica Ave","B15, B25, B26, B43, B45, B46, B47, B65"
,New Design High School,02M543,Chinatown,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9"
,New Directions Secondary School,09X350,E. Concourse-Concourse Village,"4, B, D to 170th St","Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4"
,New Dorp High School,31R440,New Dorp-Midland Beach,N/A,"S57, S74, S76, S78, S79-SBS, S86, X1, X2, X3, X4, X5, X7, X8, X9"
,"New Explorations into Science, Technology and Math High School (NEST+m)",01M539,Lower East Side,"F, J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M21, M22, M8, M9"
,New Explorers High School,07X547,E. Concourse-Concourse Village,"2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium","Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4"
,New Utrecht High School,20K445,Bensonhurst West,D to 79th St,"B1, B4, B64, B8, X28, X38"
,New World High School,11X513,Williamsbridge-Olinville,"2, 5 to 225th St","Bx31, Bx39, Bx8, BxM11"
,Newcomers High School,30Q555,Queensbridge-LIC,"7, N, Q to Queensboro Plaza ; E, M, R to Queens Plaza ; F to 21st St - Queensbridge ; G to Court Sq - 23rd St","B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69"
,Newtown High School,24Q455,Elmhurst,"M, R to Grand Ave - Newtown","Q29, Q38, Q53, Q58, Q59, Q60, Q72, Q88, QM10, QM11"
,NYC iSchool,02M376,SoHo-Tribeca,"1, 6, A, J, N, Q, R, Z to Canal St ; 4, B, D, F, M to Broadway-Lafayette St ; C, E to Spring St ; N, R to Prince St","BxM18, M20, M21, M5, X1, X10, X10B, X12, X17, X27, X28, X7, X9"
,NYC Lab School for Collaborative Studies,02M412,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X1, X10, X10B, X12, X17, X27, X28"
,NYC Museum School,02M414,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X1, X10, X10B, X12, X17, X27, X28"
,Orchard Collegiate Academy (Henry Street School),01M292,Lower East Side,"B, D to Grand St ; F to East Broadway ; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38"
,Origins High School,22K611,Sheepshead Bay,N/A,"B3, B31, B36, B4, B44, B44-SBS, BM3, BM4"
,Pablo Neruda Academy,08X305,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8"
,Pace High School,02M298,Chinatown,"6, N, Q, R to Canal St ; B, D to Grand St ; F to East Broadway ; J, Z to Bowery ; M to Delancey St-Essex St","B39, BxM18, M103, M14A, M15, M15-SBS, M22, M5, M9, X1, X10, X12, X17, X27, X28"
,Pan American International High School,24Q296,Elmhurst,7 to Junction Blvd,"Q29, Q38, Q53, Q58, Q72"
,Pan American International High School at Monroe,12X388,West Farms-Bronx River,6 to Elder Ave,"Bx11, Bx27, Bx36, Bx4, Bx4A"
,Park East High School,04M495,East Harlem South,6 to 103rd St,"BxM1, BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M15, M15-SBS, M2, M3, M4, M96, M98"
,Park Slope Collegiate,15K464,Park Slope-Gowanus,"F, G to 7th Ave; R to 4th Ave Ð 9th St","B103, B61, B63, B67, B69"
,Pathways College Preparatory School: A College Board School,29Q259,Hollis,N/A,"Q2, Q4, Q77, Q83"
,Pathways in Technology Early College High School (P-TECH),17K122,Crown Heights North,3 to Kingston Ave; A to Utica Ave; C to Kingston-Throop,"B15, B25, B26, B43, B44, B45, B46, B65"
,Pelham Lab High School,08X320,Schuylerville-Throgs Neck,6 to Westchester Sq - East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8"
,Pelham Preparatory Academy,11X542,Bronxdale,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11"
,Performing Arts and Technology High School,19K507,East New York,3 to Pennsylvania Ave; C to Van Siclen Ave; L to Livonia Ave,"B14, B15, B20, B83"
,Port Richmond High School,31R445,Port Richmond,N/A,"S40, S44, S46, S53, S57, S59, S66, S89, S90, S94, S96, X10, X10B, X14"
,Preparatory Academy for Writers: A College Board School,29Q283,Springfield Gardens North,N/A,"Q3, Q77, Q85"
,Professional Pathways High School,22K630,Sheepshead Bay,"B, Q to Neck Road","B3, B31, B36, B4, B44, B44-SBS, BM3, BM4"
,Professional Performing Arts High School (PPAS),02M408,Clinton,"1, C, E to 50th St ; 2, 3, 7, S to Times Square-42nd St ; A to 42nd St-Port Authority Bus Terminal ; B, D to 7th Ave ; F, M to 47-50th Sts Rockefeller Center ; N, Q, R to 49th St","BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9"
,PROGRESS High School for Professional Careers,14K474,Bushwick,L to Grand St,"B24, B43, B48, B60, Q54, Q59"
,Queens Collegiate: A College Board School,28Q310,Briarwood-Jamaica Hills,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68"
,Queens Gateway to Health Sciences Secondary School,28Q680,Flushing Heights-Hillcrest,N/A,"Q25, Q34, Q46, Q65, QM1, QM5, QM6, QM7, QM8"
,"Queens High School for Information, Research, and Technology",27Q302,Far Rockaway-Bayswater,A to Beach 25th St-Wavecrest,"Q114, Q22, QM17"
,Queens High School for Language Studies,25Q241,Flushing,7 to Flushing Ð Main St,"Q12, Q13, Q15, Q15A, Q16, Q17, Q19, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q44-SBS, Q48, Q50, Q65, Q66, QM2, QM20, QM3"
,Queens High School for the Sciences at York College,28Q687,Jamaica,"E, J, Z to Jamaica Center - Parsons / Archer","Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q44-SBS, Q5, Q54, Q56, Q6, Q60, Q65, Q76, Q8, Q83, Q84, Q85, Q9, X64"
,"Queens High School of Teaching, Liberal Arts and the Sciences",26Q566,Bellerose,N/A,"Q43, Q46, QM6"
,Queens Metropolitan High School,28Q686,Forest Hills,N/A,"BM5, Q11, Q21, Q23, Q52, Q53, Q54, Q55, QM12, QM15"
,Queens Preparatory Academy,29Q248,Springfield Gardens North,N/A,"Q3, Q77, Q85"
,"Queens School of Inquiry, The",25Q252,Kew Gardens Hills,N/A,"Q25, Q34, Q46, Q64, Q65, QM1, QM5, QM6, QM7, QM8"
,Queens Vocational and Technical High School,24Q600,Hunters Point-Sunnyside,7 to 40th St,"B24, Q32, Q39, Q60, Q67"
,Quest to Learn,02M422,Chelsea-Union Sq,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28"
,Rachel Carson High School for Coastal Studies,21K344,West Brighton,F to Neptune Ave-Van Siclen; Q to Ocean Parkway; Q to West 8th St Ð NY Aquarium,"B1, B36, B4, B68"
,Ralph R. McKee Career and Technical Education High School,31R600,New Brighton-St. George,SIR to St George,"S40, S42, S44, S46, S48, S51, S52, S61, S62, S66, S74, S76, S78, S81, S84, S86, S90, S91, S92, S94, S96, S98"
,Renaissance High School for Musical Theater & Technology,08X293,Schuylerville-Throgs Neck,6 to Westchester Sq - East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8"
