Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,Repertory Company High School for Theatre Arts,02M531,Midtown,"1, 2, 3, A, C, E, N, Q, R, S to Times Square-42nd St ; 4, 5, 6 to Grand Central - 42nd St ; 7, B, D, F, M to 42nd St-Bryant Park","BM1, BM2, BM3, BM4, BM5, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M3, M34A-SBS, M34-SBS, M4, M42, M5, M50, M7, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Richard R. Green High School of Teaching,02M580,Lower Manhattan,"1, R to Rector St ; 1, R to Whitehall St-South Ferry ; 2, 3 to Wall St ; 4, 5 to Bowling Green ; A, C to Fulton St-Broadway-Nassau ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9"
,Richmond Hill High School,27Q475,Richmond Hill,J to 111th St; Z to 121st St,"Q10, Q24, Q37, Q55, Q56, Q8, QM18"
,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10X141,Fieldston-Riverdale,N/A,"Bx10, Bx20, Bx7, BxM1, BxM18, BxM2"
,Robert F. Kennedy Community High School,25Q670,Kew Gardens Hills,N/A,"Q20A, Q20B, Q25, Q34, Q46, Q64, Q65, QM1, QM4, QM5, QM6, QM7, QM8"
,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24Q560,Hunters Point-Sunnyside,"7 to 33rd St; E, M, R to Queens Plaza; G to Court Sq Ð 23rd St","B24, B62, Q100, Q101, Q102, Q32, Q39, Q60, Q67, Q69"
,Robert H. Goddard High School of Communication Arts and Technology,27Q308,Ozone Park,N/A,"B15, BM5, Q11, Q21, Q41, Q7, QM15"
,Rockaway Collegiate High School,27Q351,Breezy Point-Rockaway Park,"A, S to Beach 98th St-Playland","Q22, Q52, Q53, QM16, QM17"
,Rockaway Park High School for Environmental Sustainability,27Q324,Breezy Point-Rockaway Park,"A, S to Beach 98th St-Playland","Q22, Q52, Q53, QM16, QM17"
,Scholars' Academy,27Q323,Breezy Point-Rockaway Park,"A, S to Beach 105th St-Seaside","Q22, Q52, Q53, QM16"
,School for Democracy and Leadership,17K533,Prospect Lefferts Gardens,"2, 5 to Winthrop St","B12, B17, B43, B44, B44-SBS"
,School for Excellence,09X404,Morrisania-Melrose,"2, 5 to Intervale Ave","Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6"
,School for International Studies,15K497,DUMBO-Downtown Brooklyn,"A, C to Hoyt & Schermerhorn; F, G to Bergen St","B103, B41, B45, B57, B61, B62, B63, B65, B67"
,School for Legal Studies,14K477,Bushwick,L to Grand St,"B24, B43, B48, B60, Q54, Q59"
,School for Tourism and Hospitality,08X559,Morrisania-Melrose,"6 to Longwood Ave ; 2, 5 to Prospect Ave","Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx46, Bx4A, Bx6"
,School of the Future High School,02M413,Gramercy,"6, F, M, N, R to 23rd St ; 4, 5, L, Q to 14th St-Union Square","BM1, BM2, BM3, BM4, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Schuylerville Preparatory High School,08X348,Schuylerville-Throgs Neck,6 to Westchester Sq - East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8"
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St Ð Bourough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69"
,"Science, Technology and Research Early College High School at Erasmus (STAR)",17K543,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,Secondary School for Journalism,15K463,Park Slope-Gowanus,"F, G to 7th Ave; R to 4th Ave Ð 9th St","B103, B61, B63, B67, B69"
,South Bronx Preparatory: A College Board School,07X221,Mott Haven-Port Morris,"2, 5 to 3rd Ave-149th St ; 4 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St","Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A"
,Special Music School,03M859,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3, B, C to 72nd St ; A, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M20, M5, M57, M66, M7, M72"
,Spring Creek Community School,19K422,Bergen Beach,N/A,"B100, B13, B20, B3, B41, B47, B6, B83, B84, BM1, BM5, Q8"
,Staten Island Technical High School,31R605,New Dorp-Midland Beach,SIR to New Dorp,"S57, S74, S76, S78, S79-SBS, S86, X1, X15, X2, X3, X4, X5, X7, X8, X9"
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,Clinton,N/A,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, M7, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9"
,Stuyvesant High School,02M475,Lower Manhattan,"1, 2, 3, A, C to Chambers St ; E to World Trade Center ; R to City Hall","BM1, BM2, BM3, BM4, BxM18, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X15, X17, X17A, X19, X27, X28, X3, X4, X7, X8, X9"
,Sunset Park High School,15K667,Sunset Park West,"D, N, R to 36th St Ð 4 Ave","B35, B37, B63, B70, X12, X14, X17, X17A, X19, X3, X42, X5, X9"
,Susan E. Wagner High School,31R460,Todt Hill-Heartland Village,N/A,"S54, S57, S61, S91, X31"
,Talent Unlimited High School,02M519,Lenox Hill-Roosevelt Is,"4, 5, N, Q, R to Lexington Ave-59 St ; 6 to 68th St - Hunter College ; F to Lexington Ave-63 St","BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3"
,Teachers Preparatory High School,23K697,Brownsville,3 to Rockaway Ave,"B12, B14, B15, B60, B7"
,The Bronxwood Preparatory Academy,11X514,Williamsbridge-Olinville,"2, 5 to 225th St","Bx31, Bx39, Bx8, BxM11"
,The Brooklyn Academy of Global Finance,16K688,Bedford-Stuyvesant,"J to Kosciusko St; M, Z to Myrtle Ave","B15, B38, B43, B46, B47, B52, B54, Q24"
,The Brooklyn School for Math and Research (BSMARt),32K168,Bushwick,"L, M to Myrtle Ave-Wyckoff Ave","B13, B20, B26, B38, B52, B54, B60, Q55, Q58"
,The Cinema School,12X478,West Farms-Bronx River,6 to Elder Ave,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44-SBS"
,The College Academy,06M462,Washington Heights N.,1 to 191st St ; A to 190th St,"Bx18, Bx40, Bx42, Bx7, M100, M101, M3, M4, M98"
,The Global Learning Collaborative,03M403,Upper West Side,"1, B, C to 86th St ; 2, 3 to 96th St","BxM2, M10, M104, M11, M5, M7, M79, M86-SBS"
,"The High School for Enterprise, Business and Technology",14K478,Bushwick,L to Grand St,"B24, B43, B48, B60, Q54, Q59"
,The High School for Global Citizenship,17K528,Crown Heights South,"2, 3, 4, 5 to Franklin Ave; B, Q to Prospect Park; F to Park Place; S to Botanic Garden","B16, B41, B43, B44-SBS, B45, B48, B49, B69"
,The High School For Language And Diplomacy,02M399,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,The High School of Fashion Industries,02M600,Chelsea-Union Sq,"1, C, E, F, M to 23rd St ; 2, 3 to 34th St - Penn Station ; A, L to 14th St-8th Ave ; B, D, Q to 34th St-Herald Square ; N, R to 28th St","BM1, BM2, BM3, BM4, BxM11, BxM18, BxM2, BxM3, BxM4, M1, M11, M12, M14A, M14D, M2, M20, M23, M3, M34A-SBS, M34-SBS, M4, M5, M7, Q32, X1, X10, X10B, X12, X14, X17, X17J, X22, X22A, X27, X28, X31, X42, X63, X64, X68, X7, X9"
,"The Marie Curie School for Medicine, Nursing, and Health Professions",10X237,Van Cortlandt Village,1 to 231st St,"Bx1, Bx10, Bx2, Bx20, Bx22, Bx26, Bx3, Bx32, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3"
,The Maxine Greene High School for Imaginative Inquiry,03M299,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42"
,The Metropolitan Soundview High School,12X521,West Farms-Bronx River,6 to Elder Ave,"Bx11, Bx27, Bx36, Bx4, Bx4A"
,The Michael J. Petrides School,31R080,Todt Hill-Heartland Village,N/A,"S53, S61, S62, S66, S78, S93, X14"
,"The School for Classics: An Academy of Thinkers, Writers and Performers",19K683,East New York,"A, C to Euclid Ave","B13, B14, B15, B20, BM5, Q7, Q8"
,The School for Human Rights,17K531,Prospect Lefferts Gardens,"2, 5 to Winthrop St","B12, B17, B43, B44, B44-SBS"
,The Urban Assembly Bronx Academy of Letters,07X551,Mott Haven-Port Morris,"2 to 149th St-Grand Concourse ; 4, 5 to 138th St - Grand Concourse ; 6 to 138th St-3rd Ave ; 6 to 3rd Ave - 138th St","Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, Bx41, Bx41-SBS"
,The Urban Assembly School for Collaborative Healthcare,19K764,Cypress Hills,"J, Z to 75th St Ð Elderts Lane","B13, Q56"
,The Urban Assembly School for Emergency Management,02M135,Chinatown,N/A,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8"
,The Urban Assembly School for Global Commerce,05M157,Central Harlem North,"2, 3, 4, 5, 6 to 125th St","Bx15, Bx33, BxM10, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M100, M101, M102, M103, M15, M15-SBS, M2, M35, M60-SBS, M7, M98"
,The Urban Assembly School for Green Careers,03M402,Upper West Side,"1, B, C to 86th St ; 2, 3 to 96th St","BxM2, M10, M104, M11, M5, M7, M79, M86-SBS"
,The Urban Assembly School for Law and Justice,13K483,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St Ð Bourough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69"
,Theater Arts Production Company School (TaPCO),10X225,Mount Hope,"4 to 183rd St ; B, D to 182nd-183rd Sts","Bx1, Bx15, Bx17, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4"
,Thomas A. Edison Career and Technical Education High School,28Q620,Briarwood-Jamaica Hills,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q46, Q65, Q76, Q77, QM1, QM5, QM6, QM7, QM8, X68"
,Thurgood Marshall Academy for Learning and Social Change,05M670,Central Harlem North,"2, 3, B, C to 135th St ; A, D to 125th St","Bx15, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M7"
,Tottenville High School,31R455,Annadale-Huguenot-Princes Bay,SIR to Huguenot,"S55, S56, S59, S78, X17, X17J, X19"
,Townsend Harris High School,25Q525,Kew Gardens Hills,N/A,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q64, Q88, QM4"
,Transit Tech Career and Technical Education High School,19K615,East New York,"A, C to Euclid Ave; J, Z to Norwood Ave","B13, B14, Q24, Q7, Q8"
,Union Square Academy for Health Sciences,02M533,Gramercy,"1, 2, 3, F, M to 14th St - 6th Ave ; 4, 5, 6, L, N, Q, R to 14th St-Union Square ; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,Unity Center for Urban Technologies,02M500,Murray Hill-Kips Bay,"4, 5, 7, S to Grand Central - 42nd St ; 6 to 33rd St ; B, D, F, M, N, Q, R to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,University Heights Secondary School,07X495,Melrose S.-Mott Haven N.,"2, 5 to Jackson Ave","Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6"
,University Neighborhood High School,01M448,Lower East Side,"F to East Broadway ; J, M, Z to Delancey St-Essex St","M14A, M14D, M15, M21, M22, M9, X14, X37, X38"
,Urban Action Academy,18K642,Canarsie,L to Canarsie Ð Rockaway Pkwy,"B103, B17, B42, B6, B60, B82, BM2"
,"Urban Assembly Academy of Government and Law, The",02M305,Chinatown,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9"
,Urban Assembly Gateway School for Technology,02M507,Clinton,"1, C, E to 50th St ; 2, B, D to 59th St-Columbus Circle ; A to 42nd St-Port Authority Bus Terminal ; B, D to 7th Ave ; N, Q, R to 49th St","BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, M7, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9"
,Urban Assembly High School of Music and Art,13K350,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St Ð Bourough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69"
,Urban Assembly Institute of Math and Science for Young Women,13K527,DUMBO-Downtown Brooklyn,"2, 3, 4, 5 to Court St Ð Bourough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69"
,Urban Assembly Maker Academy,02M282,Chinatown,"1 to Chambers St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5, 6, J, Z to Brooklyn Bridge - City Hall ; E to Park Place ; N, Q to Canal St ; R to City Hall","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8"
,Urban Assembly New York Harbor School,02M551,Governors Island,N/A,N/A
,"Urban Assembly School for Applied Math and Science, The",09X241,Claremont-Bathgate,N/A,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS"
,Urban Assembly School for Careers in Sports,07X548,E. Concourse-Concourse Village,"2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium","Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4"
,Urban Assembly School for Criminal Justice,20K609,Borough Park,F to Ditmas Ave,"B11, B16, B35, B67, B69, B8"
,"Urban Assembly School for Media Studies, The",03M307,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42"
,Urban Assembly School for the Performing Arts,05M369,Manhattanville,"1, A, B, C, D to 125th St","Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS"
,Urban Assembly School for Wildlife Conservation,12X372,East Tremont,"2, 5 to West Farms Sq - East Tremont Ave","Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9, Q44-SBS"
,"Urban Assembly School of Business for Young Women, The",02M316,Lower Manhattan,"1, R to Rector St ; 1, R to Whitehall St-South Ferry ; 2, 3 to Wall St ; 4, 5 to Bowling Green ; A, C to Fulton St-Broadway-Nassau ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9"
,"Urban Assembly School of Design and Construction, The",02M300,Clinton,"C, E to 50th St","M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42"
,Validus Preparatory Academy: An Expeditionary Learning School,09X263,Claremont-Bathgate,N/A,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS"
,Vanguard High School,02M449,Lenox Hill,"4, 5, N, Q, R to Lexington Ave-59 St ; 6 to 68th St - Hunter College ; F to Lexington Ave-63 St","BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3"
,Veritas Academy,25Q240,Flushing,7 to Flushing Ð Main St,"Q12, Q13, Q15, Q15A, Q16, Q17, Q19, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q44-SBS, Q48, Q50, Q65, Q66, QM2, QM20, QM3"
,Victory Collegiate High School,18K576,Canarsie,N/A,"B103, B47, B6, B82, BM1, BM2"
,W. H. Maxwell Career and Technical Education High School,19K660,East New York,"A to Broadway Junction; C to Liberty Ave; J, Z to Alabama Ave; L to Atlantic Ave","B12, B14, B20, B25, B83, Q24, Q56"
,W.E.B. DuBois Academic High School,17K489,Crown Heights,"2, 3, 4, 5 to Franklin Avenue","B43, B44, B44-SBS, B45, B48, B49, B65"
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,Central Harlem South,"2, 3, B, C to 116th St","M1, M10, M102, M11, M116, M2, M3, M4, M7"
,Washington Heights Expeditionary Learning School (WHEELS),06M348,Washington Heights N.,"1, A to 181st St","Bx11, Bx13, Bx18, Bx3, Bx35, Bx36, Bx7, M100, M101, M3, M4, M5, M98"
,West Bronx Academy for the Future,10X243,Belmont,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4"
,Westchester Square Academy,08X558,Schuylerville-Throgs Neck,6 to Westchester Sq - East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8"
,William Cullen Bryant High School,30Q445,Astoria,"M, R to 46th St","Q101, Q104, Q18, Q66"
,William E. Grady Career and Technical Education High School,21K620,Brighton Beach,"B, Q to Brighton Beach","B1, B36, B4, B49, B68, BM3"
,Williamsburg High School for Architecture and Design,14K558,Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M, Z to Marcy Ave; L to Bedford Ave","B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59"
,Williamsburg Preparatory School,14K561,Williamsburg,"G to Metropolitan Ave-Lorimer St; J, M, Z to Marcy Ave; L to Bedford Ave","B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59"
,Wings Academy,12X684,East Tremont,"2, 5 to East 180th St","Bx21, Bx36, Bx40, Bx42, Bx9, BxM10, BxM6, Q44-SBS"
,Women's Academy of Excellence,08X282,Castle Hill-Clason Point,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5"
,World Academy for Total Community Health High School (WATCH),19K510,East New York,3 to Pennsylvania Ave; C to Van Siclen Ave; L to Livonia Ave,"B14, B15, B20, B83"
,World Journalism Preparatory: A College Board School,25Q285,Auburndale,N/A,"Q12, Q13, Q16, Q28, Q31, Q76, QM3"
,World View High School,10X353,Van Cortlandt Village,"4 to Mosholu Parkway ; B, D to Bedford Park Blvd","Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx30, Bx34, Bx38, BxM3, BxM4"
,York Early College Academy,28Q284,South Jamaica,N/A,"Q111, Q112, Q113, Q114, Q4, Q42, Q5, Q60, Q83, Q84, Q85, X64"
,Young WomenÕs Leadership School (TYWLS),04M610,East Harlem South,"2, 3 to Central Park North-110th St ; 6 to 103rd St","BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M98"
,Young Women's Leadership School of Brooklyn (TYWLS),14K614,Bushwick,"J, M to Flushing Ave; L to Montrose Ave","B15, B43, B46, B47, B48, B57, B60, Q54, Q59"
,Young Women's Leadership School of the Bronx (TYWLS),09X568,Mount Hope,"4 to 176th St ; B, D to 174th-175th Sts","Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4"
,"Young Women's Leadership School, Astoria (TYWLS)",30Q286,Old Astoria,"N, Q to 30 Ave-Grand Ave","M60-SBS, Q100, Q102, Q103, Q18, Q19, Q69"
,"Young Women's Leadership School, Queens (TYWLS)",28Q896,Briarwood-Jamaica Hills,"E, J, Z to Jamaica Center Ð Parsons / Archer; F to Parsons Blvd","Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q84, Q85, Q9, X68"